the_geom,the_geom_webmercator,magency,magencyacro,description,totalcommit,maprojid,totalspend,sagencyacro,maxdate,mindate,projecttype
0106000020E61000000100000001030000000100000007000000A98F3340CA7D52C0FBA5CAF8C5574440BE6B4538D27D52C0396AB118C457444009696999D37D52C0E435972BD15744403AFAA9F7D77D52C0DE644127D05744407F607AA2D97D52C053B0AFC2E0574440A92EEB3BCD7D52C05A1D3CAEE3574440A98F3340CA7D52C0FBA5CAF8C5574440,0106000020110F000001000000010300000001000000070000007A480399D1685FC130BE912DB4F15241D7CF4622DF685FC1F4A5DA13B2F15241CB151F7AE1685FC14B326CB8C0F15241FFD895E5E8685FC1DCD0D794BFF15241DF6C92BAEB685FC1D7D3872ED2F15241137243AAD6685FC1ADBACD73D5F152417A480399D1685FC130BE912DB4F15241,846,DPR,DELPHIN H. GREENE PLAYGROUND RENOVATION                     ,3900000,846P-4DELGRP,0,{DPR},2024-06-01,2024-06-01,"{""Parks and Recreation""}"
0101000020E6100000F75AD07B638052C0C554FA0967574440,0101000020110F0000BBA70A903B6D5FC1F204C1DA49F15241,846,DPR,Harold Ickes Playground PH 1 B210H-118M                     ,4382000,846P-206ICKE,113663.49,{DPR},2026-06-01,2019-05-14,"{""Parks and Recreation""}"
0106000020E6100000010000000103000000010000000F00000036413EBD8D7F52C08D751CFDEE594440BFD052BB8F7F52C052129093F7594440074D7EF1917F52C02CE60B1AF6594440432C5347937F52C05B061D36F5594440FE26E4B1937F52C0F0B8A7C6F65944402B7C5B65947F52C0B8B43669F95944401C8C290A957F52C0FE89A8D4FB5944406B59FCAE957F52C0BAD82A40FE5944401C663689977F52C0EDA7A136055A4440EA759039877F52C0C430F27A045A4440B2496E67877F52C03DC14173FB59444031513D6C877F52C0A6E4F180FA5944405ED3AD9A877F52C080E27B5CF15944401A9042F58C7F52C03134579BEF59444036413EBD8D7F52C08D751CFDEE594440,0106000020110F0000010000000103000000010000000F000000DD030B7FD06B5FC1B94523A41FF45241D03C77E1D36B5FC17D2A0E4329F45241E58929A3D76B5FC18FDD1F9C27F45241E629CCE7D96B5FC13B84C59C26F4524106A7CF9CDA6B5FC126667F5D28F45241BA06A7CDDB6B5FC1017134512BF45241B31797E5DC6B5FC138392B072EF45241B3358FFDDD6B5FC1B0A834BD30F45241B7CE1423E16B5FC1516D1B8A38F45241C397526EC56B5FC1A396D7B737F452419C443BBCC56B5FC121C40C9A2DF452418D4B66C4C56B5FC13C72968A2CF45241861F4813C66B5FC15809934C22F4524112FB592BCF6B5FC187C0665520F45241DD030B7FD06B5FC1B94523A41FF45241,056,NYPD,11 FRONT STR RENOVATION                                     ,193000,056PO7911FR,4699622.9,{NYPD},2023-06-01,2018-05-08,{Police}
0106000020E61000000200000001030000000100000037000000092DB6F72C7F52C063C1285E165944401FED86F92C7F52C0774F0B5E1659444019F1E8FA3F7F52C017387901185944406C1C228B407F52C0CB0FB82318594440884B3214417F52C04705237018594440C314D590417F52C07E4ECAE318594440265040FC417F52C055223C7A1959444023365352427F52C0DB71B02D1A5944401CFCBE8F427F52C0C3C841F71A594440225F27B2427F52C0912531CF1B594440E8DC39B8427F52C0232E32AD1C59444040B6BAA1427F52C0C9D2BC881D594440403B876F427F52C0EC3C61591E594440504A8D23427F52C083CF1A171F594440BE55B8C0417F52C0B2089FBA1F59444096AAD44A417F52C09C3CA53D2059444034136AC6407F52C0A267249B2059444038458F38407F52C0E7B784CF2059444056D1B7A63F7F52C08EE6C2D820594440E9151FA72C7F52C01B4D7C351F59444013F6FD700B7F52C04DE25D971C594440FEF1B44E027F52C0213CDB431C5944402F49783E027F52C0EAC7D5401C5944407EAF1E2E027F52C088BA9A411C59444005386DD3FB7E52C09997C39A1B5944404393C2C9EC7E52C043D5B29F1A59444050C7AF81EC7E52C01A4720901A5944408DA89B39EC7E52C0C8F59B801A594440FF2F37F4DE7E52C0D0BF509615594440DAA7736ADE7E52C0D150E04C155944408C43BFECDD7E52C00598EFDB14594440C1B0EE7FDD7E52C06BB0D54714594440E2723028DD7E52C03E9E43961359444065BFE3E8DC7E52C0A6500CCE12594440B95177C4DC7E52C0547FE1F611594440117D51BCDC7E52C048F80719115944408367C2D0DC7E52C0C446063D10594440E0F50001DD7E52C080D3506B0F5944407A86324BDD7E52C075B7F6AB0E594440D02E7DACDD7E52C06A7352060E5944408EC82321DE7E52C03598C1800D594440FAB9AAA4DE7E52C0652766200D594440E00F0432DF7E52C07214F4E80C5944402737C1C3DF7E52C003D78CDC0C594440E86C4854E07E52C0C174AAFB0C594440CD209752ED7E52C02BBFA1CB115944400F6D431CFC7E52C0B1D585C212594440FA9D5025FC7E52C0A1757AC412594440C0E9732EFC7E52C0BE660CC412594440FA6BF381027F52C01C9A266A13594440305E729E0B7F52C0EC3A74BD135944407C01F0A80B7F52C0F0EF67BF135944404FB77EB30B7F52C094C5A8BE13594440363DEAF52C7F52C02F04BF5D16594440092DB6F72C7F52C063C1285E165944400103000000010000003C000000056881625C7F52C09512FAF619594440BE65BBD05C7F52C00112FAF619594440A3D5ECE55C7F52C08F7C27FA19594440EBEA33FB5C7F52C0BB74D2F8195944406789A4D26F7F52C0865D409C1B5944401AF4DA62707F52C0BECE9ABE1B59444023E6E4EB707F52C00C00200B1C59444034337E68717F52C05125DF7E1C594440A710DDD3717F52C0B88A65151D5944409A30E129727F52C0F356EAC81D594440C1593C67727F52C0857387921E594440A1EC9289727F52C01F6B7D6A1F5944402516938F727F52C0A9A27F482059444077CB0179727F52C0C6FE052421594440230FBD46727F52C00AD3A0F4215944405069B3FA717F52C0B4E04BB222594440D6E6D097717F52C0C334BD5523594440175AE221717F52C037DDACD8235944407DF86F9D707F52C046B41236245944404BC4900F707F52C035E1576A245944407E79B87D6F7F52C02B287A7324594440F8FEAF655F7F52C00A21380D235944404E946F215B7F52C0EB0864308859444010F0D8095B7F52C07CB8AA0B8959444074B09BD65A7F52C05692B9DB8959444082EAAF895A7F52C0D1B891988A594440B25B0A265A7F52C0C053F13A8B5944404F557FAF597F52C004F69ABC8B5944402E109D2A597F52C03A0193188C5944405BDB7E9C587F52C05BAB504B8C594440A5DE9A0A587F52C03DC4E0528C5944405B5F8C7A577F52C098E4F82E8C594440DE97DCF1567F52C0164AFAE08B594440B440CC75567F52C0FF43E46B8B59444006E31F0B567F52C060B636D48A594440E8F0F0B5557F52C089D5C51F8A594440F8708579557F52C0A2CD80558959444007CA2F58557F52C05D8A2D7D88594440A0EB3753557F52C0133E1C9F875944401037FE56557F52C0CD6EA545875944401D5A0253557F52C0BE589AA8865944407BBD7E3E597F52C0986B91A02259444080DF0ECD4C7F52C00DB53CD521594440781E853C4C7F52C0383D36B6215944408044BCB24B7F52C046E4DB6C215944405BD7FF344B7F52C0784FFFFB20594440C0D324C84A7F52C0A8D3F66720594440D2235A704A7F52C0A9C972B61F5944407877FF304A7F52C0A49645EE1E5944409313840C4A7F52C0D88E20171E59444089DE4E044A7F52C05A4748391D594440B995B0184A7F52C0233F435D1C59444079B3E0484A7F52C0C7FF858B1B5944402F2405934A7F52C0F5EE1FCC1A594440737E44F44A7F52C012036C261A5944402A0BE2684B7F52C0F766C8A019594440A48962EC4B7F52C0B5D45740195944402046B8794C7F52C0A60FCF0819594440ECD0740B4D7F52C0B56E50FC18594440056881625C7F52C09512FAF619594440,0106000020110F00000200000001030000000100000037000000B1EDB41E2C6B5FC18D3D5BF92CF352418B5ACA212C6B5FC1B2413AF92CF352418002226A4C6B5FC1DDBC10CF2EF35241BE541C5F4D6B5FC1D4366DF52EF352417924ED474E6B5FC14354074B2FF352418207A21B4F6B5FC1E6F194CC2FF35241F73D18D24F6B5FC1DE891B7530F35241FBBB4C64506B5FC1CB2D213E31F352414325A1CC506B5FC1D93CEC1F32F35241B3131307516B5FC10563CF1133F352416E896311516B5FC1F5F57E0A34F35241120A2DEB506B5FC1B6676C0035F35241AC81E795506B5FC1C14B24EA35F3524101D3D914506B5FC14F51ABBE36F35241079BF96C4F6B5FC13AA0D67537F35241CC66BAA44E6B5FC117339C0838F35241A53BCEC34D6B5FC1E617587138F352410EE2D9D24C6B5FC139EE03AC38F3524113DC1FDB4B6B5FC124805EB638F352410AF2D0952B6B5FC1EA90B3E036F352417607182CF36A5FC123070BF233F352419AF747A8E36A5FC1DBF57E9433F352418176B38CE36A5FC1498C1C9133F35241ADCCED70E36A5FC1832AF99133F35241B8A6D3A5D86A5FC16BC014D732F35241B3DBC71ABF6A5FC17656D7BD31F35241C7525BA0BE6A5FC142A865AC31F352415B8AEC25BE6A5FC1FAEC039B31F352412E6B1C9BA76A5FC165AD7E192CF352418CF71AB1A66A5FC133C23AC72BF352414D5595DBA56A5FC15C3CB7482BF35241DE23C022A56A5FC191C1D0A22AF3524123C3B58DA46A5FC16973E7DB29F352415D723022A46A5FC1F935A0FB28F3524180F751E4A36A5FC1A17B990A28F3524135F97AD6A36A5FC1A479161227F35241879B33F9A36A5FC12208A41B26F352411945264BA46A5FC1C0ADBA3025F3524148C02CC9A46A5FC19B73615A24F352411D376F6EA56A5FC1BC15D5A023F35241ECD89334A66A5FC10AFA360B23F352411955FD13A76A5FC1A40A479F22F352411FC41504A86A5FC1E8252B6122F35241181EA3FBA86A5FC13C50465322F35241B6FF21F1A96A5FC12C39217622F3524151613303C06A5FC1E51E27DA27F35241491C8C21D96A5FC15C23B7EE28F35241BC17EC30D96A5FC1B5EDE7F028F35241539F7140D96A5FC1BEA46CF028F35241060553FFE36A5FC1C9387DAA29F3524109A34D79F36A5FC193CCCD072AF352418A761F8BF36A5FC1DA8FFD092AF35241D3490E9DF36A5FC1006C27092AF35241F4ADA71B2C6B5FC114CBE4F82CF35241B1EDB41E2C6B5FC18D3D5BF92CF352410103000000010000003C000000026EABA97C6B5FC17C73D70031F35241F386E6647D6B5FC1D872D70031F35241912DE6887D6B5FC10BA0660431F35241C9980AAD7D6B5FC19C9BE80231F352415CB423AE9D6B5FC1D249BFD832F35241BA5919A39E6B5FC19FB23AFF32F35241AA90DF8B9F6B5FC1453CF25433F352413857845FA06B5FC116A29AD633F35241038CE515A16B5FC1BA56387F34F35241DBF100A8A16B5FC16288504835F352414B233910A26B5FC1C4DF282A36F35241DACF8C4AA26B5FC12086131C37F352415223BE54A26B5FC15F87C41438F352419DD3682EA26B5FC16D47AD0A39F35241F1FB05D9A16B5FC1FC875AF439F35241669FDD57A16B5FC1E160D1C83AF352416E61E6AFA06B5FC12399E77F3BF352419AB194E79F6B5FC1BEFA93123CF35241124B9B069F6B5FC19F8B337B3CF352417E789F159E6B5FC1F501C1B53CF352417405E41D9D6B5FC1B352FCBF3CF35241879099C7816B5FC1D530AB2E3BF3524188F14C887A6B5FC1F3845C7AACF3524100B43B607A6B5FC191EF0070ADF3524193BC32097A6B5FC1D9391459AEF352413B478A86796B5FC14C66A12CAFF352412BBA47DD786B5FC1BC3687E2AFF352416740EC13786B5FC1E527C873B0F35241F4CB3432776B5FC13337CFDAB0F3524148F5CD40766B5FC1B7CDA613B1F35241C9A4FE48756B5FC13CB41F1CB1F352411CCE4C54746B5FC11491E6F3B0F3524134BF1F6C736B5FC10A1C879CB0F35241D29C6399726B5FC144E95C19B0F35241E49A31E4716B5FC14760726FAFF3524131508053716B5FC199244FA5AEF352415D35DFEC706B5FC1BCD7B7C2ADF352410CF13FB4706B5FC19DAC61D0ACF35241668BCFAB706B5FC159BC9CD7ABF35241ADE438B2706B5FC11C116473ABF352419E8D74AB706B5FC148ED76C3AAF352410C20FA53776B5FC15272F5B43AF3524161193131626B5FC1A68F30D139F3524180E5AD3B616B5FC10F7F6FAE39F35241AB68A351606B5FC18633445C39F35241AD20107C5F6B5FC1520FD7DD38F35241333329C35E6B5FC1F4DB033838F35241A2AE092E5E6B5FC148FD297137F3524132A26CC25D6B5FC1A8BFED9036F352414FBD74845D6B5FC12729ED9F35F35241ADA083765D6B5FC1AC326BA734F352414F7122995D6B5FC104AAF4B033F35241CE93FCEA5D6B5FC1233E02C632F35241DFC3EC685E6B5FC152519BEF31F35241D7061C0E5F6B5FC16326FD3531F35241F24831D45F6B5FC157D249A030F35241D1D08FB3606B5FC11210423430F35241BB22A2A3616B5FC157A80CF62FF35241E8722E9B626B5FC17E9A0DE82FF35241026EABA97C6B5FC17C73D70031F35241,850,DDC,"RECON: TILLARY STREET PHASE 2, BED-782A                     ",128000,850HWK639WA,27278657.23,{DOT},2030-06-01,2018-11-07,{Highways}
0106000020E610000001000000010300000001000000070000001EBF451A7B7E52C0FFCC7DCEF15844400F885647847E52C0BFFD4E5BF05844409737B128867E52C0ED20E2FC02594440A1CDD4EA8C7E52C03DF27CEB0159444077020F0C8F7E52C08431AF051759444030B0A3B07E7E52C0FDF5965A155944401EBF451A7B7E52C0FFCC7DCEF1584440,0106000020110F000001000000010300000001000000070000006B0E94FFFD695FC15316E70404F3524113DDB3950D6A5FC124F61D6502F3524111CA54C7106A5FC1BE00D84317F35241757B25421C6A5FC11F05981116F35241811C45E01F6A5FC1F4E803B52DF35241BB5C8417046A5FC1735297D62BF352416B0E94FFFD695FC15316E70404F35241,819,HHC,CUMBERLAND: RENOVATE PEDIATRIC PRACTICE DEPARTMENT          ,111000,81927201301,0,{HHC},2033-06-01,2033-06-01,"{""Health and Hospitals Corporation""}"
0101000020E61000009FE925C6327E52C0A0FEB3E6C7574440,0101000020110F000026F0132483695FC15571C156B6F15241,846,DPR,Owl's Head Park - Recon. of Basketball Courts B066-121M     ,9794000,846P-210OWLH,0,{DPR},2028-06-01,2023-02-01,"{""Parks and Recreation""}"
0101000020E610000007B47405DB7C52C0FCE3BD6A655A4440,0101000020110F000050F80B3E3B675FC15407BA51A4F45241,056,NYPD,90 precinct computer equipment and infrastructure upgrades  ,37000,056PO163-90,0,{NYPD},2026-06-01,2026-06-01,{Police}
0101000020E610000038A9D589A27F52C0B5F958D4E0554440,0101000020110F00009FBA65D3F36B5FC18564B1DF94EF5241,827,DSNY,Brooklyn 6 Garage Boiler System Rehabilitation              ,0,827S136-380H,0,{DSNY},2023-06-01,2023-06-01,{Sanitation}
0106000020E61000000100000001030000000100000007000000A98F3340CA7D52C0FBA5CAF8C5574440BE6B4538D27D52C0396AB118C457444009696999D37D52C0E435972BD15744403AFAA9F7D77D52C0DE644127D05744407F607AA2D97D52C053B0AFC2E0574440A92EEB3BCD7D52C05A1D3CAEE3574440A98F3340CA7D52C0FBA5CAF8C5574440,0106000020110F000001000000010300000001000000070000007A480399D1685FC130BE912DB4F15241D7CF4622DF685FC1F4A5DA13B2F15241CB151F7AE1685FC14B326CB8C0F15241FFD895E5E8685FC1DCD0D794BFF15241DF6C92BAEB685FC1D7D3872ED2F15241137243AAD6685FC1ADBACD73D5F152417A480399D1685FC130BE912DB4F15241,846,DPR,Greene Playground Reconstruction                            ,2300000,846P-202GREN,0,{DPR},2028-06-01,2027-06-01,"{""Parks and Recreation""}"
0101000020E61000001DCA8272817E52C0AE501DEC5A564440,0101000020110F00007DC382C6086A5FC11D43AF971DF05241,850,DDC,APPARATUS FLOOR REPLACEMENT - FY02                          ,-15000,850F175FLO02,3486.57,{FDNY},2023-06-01,2011-08-05,"{""Fire Department""}"
0101000020E6100000DA0418963F8052C0999B6F44F7524440,0101000020110F0000AC996096FE6C5FC13878062A52EC5241,846,DPR,"Reconstruction  the pools, Citywide CNYG-1011M              ",0,846P-6POOL11,1935792.85,{DPR},2023-06-01,2014-03-03,"{""Parks and Recreation""}"
0101000020E61000000E0AE27BA07E52C05A73967E7B574440,0101000020110F00006B58867E3D6A5FC1C3A795C360F15241,850,DDC,PACIFIC LIFE & FIRE SAFETY                                  ,0,850LBC17PCFS,220378.28,{BPL},2025-06-01,2018-08-22,"{""Brooklyn Public Library""}"
0101000020E6100000BB4A4D243D8052C0FBAFF06C715A4440,0101000020110F0000C025686FFA6C5FC1580CEEC5B1F45241,850,DDC,SSS - Ambrose Restoration                                   ,11509000,850PV394AMBR,0,{DCLA},2027-06-01,2023-06-01,"{""Cultural Affairs""}"
0101000020E6100000E757090E358052C02F23C820E65A4440,0101000020110F0000F048DAB2EC6C5FC1DE1F8F8634F55241,850,DDC,100 GOLD ST.- MIS HVAC UPGRADES                             ,696000,850PW77GLDA2,2378924.57,{DCAS},2023-06-01,2015-05-13,"{""Public Buildings""}"
0101000020E6100000A558538BE67E52C0C76226EA04594440,0101000020110F000069CAAD7FB46A5FC12D56636C19F35241,850,DDC,NYPD 84th Precinct - EE Upgrade                             ,253000,850E12-0043,2650302.74,{NYPD},2024-06-01,2015-05-11,{Police}
0101000020E61000008F77E1AC837F52C04EC873ECEE584440,0101000020110F00009C07D566BF6B5FC183992DCA00F35241,850,DDC,BHS - Brooklyn Historic Society HVAC Replacement            ,4031000,850PV072HVAC,52580.7,"{BPL,DCAS,DCLA}",2026-06-01,2020-06-26,"{""Brooklyn Public Library"",""Cultural Affairs"",""Public Buildings""}"
0101000020E6100000EF3B86C77E7F52C0D0B87020245D4440,0101000020110F0000C355E115B76B5FC1FE4A00BBB7F75241,846,DPR,DEP Shaft Site 31B at Bowery and East 4th Street            ,310000,846P-302MHSA,0,{DPR},2028-06-01,2023-06-01,"{""Parks and Recreation""}"
